ID (BIGG)	ID (SEED)	name	Reaction	SEED link	Notes	
GLCabc	rxn05147	D-Glucose-ABC transport	H2O + ATP + D-Glucose[1] => ADP + Phosphate + D-Glucose + H+	https://modelseed.org/biochem/reactions/rxn05147		
HEX1	rxn00216	ATP:D-glucose 6-phosphotransferase	ATP + D-Glucose => ADP + H+ + D-glucose-6-phosphate	https://modelseed.org/biochem/reactions/rxn00216		
PGI	rxn00558	D-glucose-6-phosphate aldose-ketose-isomerase	D-glucose-6-phosphate <=> D-fructose-6-phosphate		https://modelseed.org/biochem/reactions/rxn00558	
PFK	rxn00545	ATP:D-fructose-6-phosphate 1-phosphotransferase	"ATP + D-fructose-6-phosphate => ADP + H+ + D-fructose-1,6-bisphosphate"	https://modelseed.org/biochem/reactions/rxn00545		
FBA	rxn00786	"D-fructose-1,6-bisphosphate D-glyceraldehyde-3-phosphate-lyase (glycerone-phosphate-forming)"	"D-fructose-1,6-bisphosphate <=> Glycerone-phosphate + Glyceraldehyde3-phosphate"	https://modelseed.org/biochem/reactions/rxn00786		
TPI	rxn00747	D-glyceraldehyde-3-phosphate aldose-ketose-isomerase	Glyceraldehyde3-phosphate <=> Glycerone-phosphate	https://modelseed.org/biochem/reactions/rxn00747		
GAPD	rxn00781	D-glyceraldehyde-3-phosphate:NAD+ oxidoreductase (phosphorylating)	"NAD + Phosphate + Glyceraldehyde3-phosphate <=> NADH + H+ + 1,3-Bisphospho-D-glycerate"	https://modelseed.org/biochem/reactions/rxn00781		
PGK	rxn01100	ATP:3-phospho-D-glycerate 1-phosphotransferase	"ATP + 3-Phosphoglycerate <=> ADP + 1,3-Bisphospho-D-glycerate"	https://modelseed.org/biochem/reactions/rxn01100		
PGM	rxn01106	"2-Phospho-D-glycerate 2,3-phosphomutase"	2-Phospho-D-glycerate <=> 3-Phosphoglycerate	https://modelseed.org/biochem/reactions/rxn01106		
ENO	rxn00459	2-phospho-D-glycerate hydro-lyase (phosphoenolpyruvate-forming)	2-Phospho-D-glycerate <=> H2O + Phosphoenolpyruvate	https://modelseed.org/biochem/reactions/rxn00459		
PYK	rxn00148	ATP:pyruvate 2-O-phosphotransferase	ATP + Pyruvate <=> ADP + Phosphoenolpyruvate + H+	https://modelseed.org/biochem/reactions/rxn00148		
LDH_L	rxn00499	(S)-Lactate:NAD+ oxidoreductase	NAD + L-Lactate <=> NADH + Pyruvate + H+	https://modelseed.org/biochem/reactions/rxn00499		
POR4	rxn05938	pyruvate ferredoxin oxidoreductase	CO2 + Acetyl-CoA + H+ + Reducedferredoxin <= CoA + Pyruvate + Oxidizedferredoxin	https://modelseed.org/biochem/reactions/rxn05938		
PTAr	rxn00173	acetyl-CoA:phosphate acetyltransferase	Phosphate + Acetyl-CoA <=> CoA + Acetylphosphate	https://modelseed.org/biochem/reactions/rxn00173		
ACKr	rxn00225	ATP:acetate phosphotransferase	ATP + Acetate <=> ADP + Acetylphosphate	https://modelseed.org/biochem/reactions/rxn00225		
ACACT1r	rxn00178	Acetyl-CoA:acetyl-CoA C-acetyltransferase	(2) Acetyl-CoA <=> CoA + Acetoacetyl-CoA	https://modelseed.org/biochem/reactions/rxn00178		
PHPB2i	rxn27735	(R)-3-Hydroxybutanoyl-CoA:NADP+ oxidoreductase	NADH + H+ + Acetoacetyl-CoA <=> NAD + (R)-3-Hydroxybutanoyl-CoA	https://modelseed.org/biochem/reactions/rxn27735	"NADPH not balanced, used a reaction with NADH"	
ECOAH1	rxn02167	(S)-3-Hydroxybutanoyl-CoA hydro-lyase	(S)-3-Hydroxybutyryl-CoA <=> H2O + Crotonyl-CoA	https://modelseed.org/biochem/reactions/rxn02167		
BTCOADH	rxn19247	short-chain acyl-coenzyme A dehydrogenase	Crotonoyl-CoA + Oxidizedferredoxin + (2) H+ + (2) NADH <=> Butyryl-CoA + Reducedferredoxin + (2) NAD	https://modelseed.org/biochem/reactions/rxn19247	mseed reaction: H+ + Butyryl-CoA + ETF-Oxidized <= Crotonyl-CoA + ETF-Reduced; rewritten using ferredoxin	
BTCOAACCOAT	rxn00875	Butanoyl-CoA:acetate CoA-transferase	Acetate + Butyryl-CoA <=> Acetyl-CoA + Butyrate	https://modelseed.org/biochem/reactions/rxn00875		
ATPS4	rxn08173	F(1)-ATPase	ADP + Phosphate + (4) H+[1] => H2O + ATP + (3) H+	https://modelseed.org/biochem/reactions/rxn08173		
HYDFDi	rxn45849	Ferredoxin hydrogenase	H2 + (2) Oxidized-ferredoxins <=> (2) H+ + (2) Reduced-ferredoxins	https://modelseed.org/biochem/reactions/rxn45849	https://www.microbiologyresearch.org/docserver/fulltext/mgen/6/7/mgen000399.pdf?expires=1650575723&id=id&accname=guest&checksum=87B9C463F9DB981EF95614758ACAF16D	
RNF		Ferredoxin:NAD oxidoreductase ( 2 protons traslocation)	(3)H+ + NAD + (2) Reduced-ferredoxins ? NADH + (2) H+[1] + (2) Oxidized-ferredoxins	http://bigg.ucsd.edu/universal/reactions/RNF	not in found in mSEED	
		mock objective	(2) Acetyl-CoA + (3) ATP + (2) NADH + (2) H+ => Biomass + (3) ADP + (2) NAD + (2) CoA			
